"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58971";"SÃO GONÇALO";"12";"VICE-PREFEITO";"COLIGACAO";"21";"PCB";"PARTIDO COMUNISTA BRASILEIRO";"190000000367";"SÃO GONÇALO PRECISA DE UMA REVOLUÇÃO!";"PSOL / PCB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58378";"ITABORAÍ";"11";"PREFEITO";"COLIGACAO";"51";"PATRIOTA";"PARTIDO ECOLÓGICO NACIONAL";"190000000593";"CORAGEM PARA RECONSTRUIR";"PTB / PSB / REDE / PT do B / PATRIOTA";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58530";"MARICÁ";"12";"VICE-PREFEITO";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"190000000155";"PRA VIVER MELHOR";"PRB / PP / PSL / PSC / DEM / PRTB / PSB / PSDB / PATRIOTA / PPL / PSD / PT do B / PTC / PROS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58343";"SÃO JOSÉ DE UBÁ";"13";"VEREADOR";"COLIGACAO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"190000001199";"JUNTOS SOMOS MAIS FORTE 1";"PMDB / PATRIOTA / PSC / PT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58173";"CAMBUCI";"11";"PREFEITO";"COLIGACAO";"11";"PP";"PARTIDO PROGRESSISTA";"190000001253";" A VERDADEIRA MUDANÇA ";"PRB / PP / PDT / PSDB / DEM / PSC / PR / PHS / PSD / PC do B";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58670";"NOVA FRIBURGO";"13";"VEREADOR";"COLIGACAO";"25";"DEM";"DEMOCRATAS";"190000001315";"COLIGAÇÃO DEM-PSDB-PSD";"DEM / PSDB / PSD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58262";"IGUABA GRANDE";"12";"VICE-PREFEITO";"COLIGACAO";"31";"PHS";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"190000001361";"AGORA É PRA MUDAR";"PHS / PMB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58815";"PORCIÚNCULA";"11";"PREFEITO";"COLIGACAO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"190000000344";"A União que Porciúncula Precisa";"PP / DEM / PR / PATRIOTA / SD / PSB / PSC / PSDB / PT do B / PTN / PROS / PTB / PT / PSD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58343";"SÃO JOSÉ DE UBÁ";"12";"VICE-PREFEITO";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"190000001050";"JUNTOS SOMOS MAIS FORTES";"PMDB / PSB / PV / PATRIOTA / PSC / PDT / PT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58696";"NOVA IGUAÇU";"11";"PREFEITO";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"190000000774";"TRABALHO, FÉ E HUMILDADE";"PR / PT / PATRIOTA / PC do B / PPS / PDT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58955";"SÃO FIDÉLIS";"13";"VEREADOR";"COLIGACAO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"190000000793";"UNIDOS VENCEREMOS";"PMDB / PSB / PDT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RJ";"58157";"CACHOEIRAS DE MACACU";"11";"PREFEITO";"COLIGACAO";"15";"PMDB";"PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO";"190000001300";"EXPERIÊNCIA PARA GOVERNAR";"PDT / PTB / PMDB / PSC / PPS / DEM / PSDC / PSDB";"D";"DEFERIDO"
